logT    U-V    B-V    V-R    V-I    V-J    V-H    V-K  [Fe/H]  Mbol  BCV
4.204  -1.06  -0.17  -0.12  -0.22  -0.39  -0.42  -0.43  0  -6.0  -1.2
4.100  -0.75  -0.12  -0.06  -0.15  -0.16  -0.15  -0.15  0  -5.0  -0.9
3.900  0.34  0.15  0.09  0.20  0.44  0.59  0.62  0  -2.5  0.09
3.865  0.54  0.34  0.18  0.36  0.52  0.69  0.73  0  -2.4  0.09
3.720  1.44  0.90  0.44  0.84  1.31  1.71  1.80  -0.0  -2.6  -0.12
3.700  2.51  1.27  0.59  1.09  1.72  2.10  2.21  -0.2  -2.8  -0.31
3.629  3.11  1.42  0.70  1.32  2.37  3.03  3.15  0.1  -3.1  -0.73
3.533  3.45  1.65  1.04  2.29  3.78  4.70  5.00  0  -4.1  -1.96
4.415  -1.22  -0.22  -0.13  -0.22  -0.57  -0.61  -0.71  0  -8.9  -1.8
4.316  -1.11  -0.17  -0.08  -0.16  -0.47  -0.59  -0.67  0  -8.3  -1.6
4.193  -0.90  -0.15  -0.05  -0.13  -0.30  -0.33  -0.30  0  -7.6  -1.18
4.127  -0.77  -0.06  -0.03  -0.01  -0.16  -0.15  -0.16  0  -7.2  -0.88
4.049  -0.58  -0.01  -0.03  0.03  -0.04  -0.09  -0.04  0  -6.9  -0.26
3.988  -0.24  0.00  0.02  0.07  0.10  0.19  0.16  0  -6.7  -0.18
3.958  -0.13  0.10  0.06  0.12  0.20  0.32  0.30  0  -6.7  -0.04
3.886  0.43  0.20  0.12  0.31  0.44  0.56  0.58  0  -6.6  0.10
3.822  0.47  0.27  0.18  0.39  0.66  0.76  0.77  0  -6.6  0.07
3.785  1.00  0.60  0.28  0.50  0.86  1.14  1.20  0  -6.6  0.08
3.741  1.21  0.78  0.38  0.67  1.04  1.37  1.46  0  -6.6  0.00
3.724  1.51  0.90  0.42  0.75  1.16  1.48  1.49  0  -6.5  -0.02
3.703  1.86  1.07  0.47  0.83  1.32  1.71  1.80  0.1  -6.5  -0.09
3.662  2.35  1.21  0.59  1.01  1.48  1.77  1.81  0.0  -6.5  -0.18
3.629  3.10  1.50  0.70  1.26  1.85  2.18  2.27  -0.2  -6.6  -0.40
3.616  3.23  1.57  0.78  1.39  2.18  2.74  2.83  -0.1  -6.6  -0.63
3.601  3.34  1.66  0.84  1.63  2.74  3.45  3.65  -0.2  -6.7  -1.04
3.538  3.48  1.73  1.06  2.24  3.32  3.97  4.29  0  -8.3  -1.57
